mnemonic,variant,description,opcodes,operands,reads,writes,rmw,data_bus_cycles_if_all_memory,operand_detail,confidence
NEG,neg.w,,39 3B 3D,2,1,1,0,4,src.w(4B).r ; dst.w(4B).w,ok
NEGF,negf.s,Negate Floating,5E-09,2,1,1,0,4,src.s(4B).r ; dst.s(4B).w,ok
NEGF,negf.l,Negate Floating,5E-09,2,1,1,0,8,src.l(8B).r ; dst.l(8B).w,ok
NOP,nop,No Operation,CD,0,0,0,0,0,,ok
NOT1,notl,,B7,2,1,0,1,6,offset.w(4B).r ; base.w(4B).rw,review
NOTBSD,notbsd,Negate Bit String,5B-0A 5B-0B,3,2,1,0,3,bsrc.b(1B).r ; blen.b(1B).r ; bdst.b(1B).w,ok
NOTBSD,notbsu,Negate Bit String,5B-0A 5B-0B,3,2,1,0,3,bsrc.b(1B).r ; blen.b(1B).r ; bdst.b(1B).w,review
NOTBSU,notbsd,,5B-0A 5B-0B,3,2,1,0,3,bsrc.b(1B).r ; blen.b(1B).r ; bdst.b(1B).w,review
NOTBSU,notbsu,,5B-0A 5B-0B,3,2,1,0,3,bsrc.b(1B).r ; blen.b(1B).r ; bdst.b(1B).w,ok
OR,dst.b,,88 8A 8C,1,1,0,0,1,src.b(1B).r,review
OR,dst.h,,88 8A 8C,1,1,0,0,1,src.h(2B).r,review
OR,or.w,,88 8A 8C,2,1,0,1,6,src.w(4B).r ; dst.w(4B).rw,ok
ORBSU,orbsd,,5B-14 5B-15,3,2,0,1,4,bsrc.b(1B).r ; blen.b(1B).r ; bdst.b(1B).rw,review
ORBSU,orbsu,,5B-14 5B-15,3,2,0,1,4,bsrc.b(1B).r ; blen.b(1B).r ; bdst.b(1B).rw,ok
ORNBSU,ornbsd,,5B-16 5B-17,3,2,0,1,4,bsrc.b(1B).r ; blen.b(1B).r ; bdst.b(1B).rw,review
ORNBSU,ornbsu,,5B-16 5B-17,2,1,0,1,3,blen.b(1B).r ; bdst.b(1B).rw,ok
OUT,out.b,,,2,1,1,0,2,src.b(1B).r ; port.b(1B).w,ok
OUT,out.h,,,2,1,1,0,2,src.h(2B).r ; port.h(2B).w,ok
OUT,out.w,,,2,1,1,0,4,src.w(4B).r ; port.w(4B).w,ok
POP,pop,,,1,0,1,0,2,dst.w(4B).w,ok
POPM,popm,,,1,1,0,0,2,list.w(4B).r,ok
PREPARE,prepare,Prepare Stack Frame,,1,1,0,0,2,num.w(4B).r,ok
PUSH,push,Push Word,,1,1,0,0,2,src.w(4B).r,ok
PUSHM,pushm,,,1,1,0,0,2,list.w(4B).r,ok
REM,rem.b,,50 52 54,2,1,0,1,3,dst.b(1B).rw ; sflc.h(2B).r,ok
REM,rem.h,,50 52 54,2,1,0,1,4,dst.h(2B).rw ; src.w(4B).r,ok
REM,rem.w,,50 52 54,1,0,0,1,4,dst.w(4B).rw,ok
REMU,remu.b,,51 53 55,2,1,0,1,3,src.b(1B).r ; dst.b(1B).rw,ok
REMU,remu.h,,51 53 55,2,1,0,1,3,src.h(2B).r ; dst.h(2B).rw,ok
